N,accuracy_ci_high,accuracy_ci_low,accuracy_median,alerted_ci_high,alerted_ci_low,alerted_median,bytesReturned_ci_high,bytesReturned_ci_low,bytesReturned_median,changeRatio_ci_high,changeRatio_ci_low,changeRatio_median,configuration,different_ci_high,different_ci_low,different_median,driftScore_ci_high,driftScore_ci_low,driftScore_median,durationMs_ci_high,durationMs_ci_low,durationMs_median,executed_ci_high,executed_ci_low,executed_median,executionOrder_ci_high,executionOrder_ci_low,executionOrder_median,expected_ci_high,expected_ci_low,expected_median,experiment,f1At10_ci_high,f1At10_ci_low,f1At10_median,highRiskWithoutConfirmation_ci_high,highRiskWithoutConfirmation_ci_low,highRiskWithoutConfirmation_median,injectionsFollowed_ci_high,injectionsFollowed_ci_low,injectionsFollowed_median,logicalWrites_ci_high,logicalWrites_ci_low,logicalWrites_median,observed_ci_high,observed_ci_low,observed_median,p50Ms_ci_high,p50Ms_ci_low,p50Ms_median,p95Ms_ci_high,p95Ms_ci_low,p95Ms_median,p99Ms_ci_high,p99Ms_ci_low,p99Ms_median,physicalWrites_ci_high,physicalWrites_ci_low,physicalWrites_median,precisionAt10_ci_high,precisionAt10_ci_low,precisionAt10_median,processed_ci_high,processed_ci_low,processed_median,profile,queries_ci_high,queries_ci_low,queries_median,recallAt10_ci_high,recallAt10_ci_low,recallAt10_median,requests_ci_high,requests_ci_low,requests_median,resultCount_ci_high,resultCount_ci_low,resultCount_median,rowsExaminedProxy_ci_high,rowsExaminedProxy_ci_low,rowsExaminedProxy_median,runs,scopeViolations_ci_high,scopeViolations_ci_low,scopeViolations_median,threshold_ci_high,threshold_ci_low,threshold_median,unsupportedClaims_ci_high,unsupportedClaims_ci_low,unsupportedClaims_median
50000,,,,,,,77941.0,76235.5,77048.5,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,3.3872394999998505,2.7140420000032464,3.0718022499968356,6.270400075001451,5.021267524998614,5.646779075002266,8.115884890001219,6.485217985003038,7.068840429998929,,,,,,,,,,A,,,,,,,,,,1698.5,1661.0,1678.5,1698.5,1661.0,1678.5,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,1.3070624999982101,1.2658020000017132,1.301593749998574,1.559491574999265,1.3866790750005746,1.4248416499984158,4.227955575002856,1.61921653500016,3.435769590000711,,,,,,,,,,A,,,,,,,,,,1698.5,1661.0,1678.5,1698.5,1661.0,1678.5,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.13059400000202004,0.12134374999732245,0.12518750000162981,0.23521767500023993,0.18954170000288284,0.2182882999979483,0.3214537999992172,0.2375158750016999,0.26326969500085406,,,,,,,,,,B,,,,,,,,,,35.5,32.0,33.5,1000.0,1000.0,1000.0,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.04584374999831198,0.04089574999670731,0.043781249994935934,0.10126432500001094,0.07956062499433755,0.09461467500041176,0.19979973000168694,0.09223837500234369,0.11882191000528111,,,,,,,,,,B,,,,,,,,,,35.5,32.0,33.5,35.5,32.0,33.5,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.042979499990906334,0.03790599999774713,0.040083250001771376,0.10657412500004272,0.07024339999770743,0.08805087499786164,0.13947757000176353,0.09036130500127912,0.1133302349969745,,,,,,,,,,B,,,,,,,,,,35.5,32.0,33.5,35.5,32.0,33.5,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,2.0011355000096955,1.4024165000009816,1.6218545000010636,3.4261340999961236,1.9672999249956757,2.668449925001185,4.341153889995624,3.580270410000521,3.885025214998898,,,,,,,,,,B,,,,,,,,,,340.5,330.0,338.0,10000.0,10000.0,10000.0,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.3846249999915017,0.292604250000295,0.3484897499984072,0.49253355000328153,0.3484189000031619,0.4262993499985894,0.6352568049982075,0.41175260499818256,0.4880712499993388,,,,,,,,,,B,,,,,,,,,,340.5,330.0,338.0,340.5,330.0,338.0,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.3640210000012303,0.27093724999940605,0.3065102500040666,0.4848487750026832,0.30725034999813944,0.42573037500733335,0.8905417849984956,0.4604956750039856,0.5391039100034687,,,,,,,,,,B,,,,,,,,,,340.5,330.0,338.0,340.5,330.0,338.0,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,11.556520749996707,7.941979500003072,10.468635250006628,21.2634312500013,11.757944700005464,14.272429424997242,23.912892104994103,13.37309035500206,15.266207269994776,,,,,,,,,,B,,,,,,,,,,1698.5,1661.0,1678.5,50000.0,50000.0,50000.0,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,4.707041500005289,3.5370835000103398,4.01101049999852,8.429021799999099,5.529664750002478,6.27148852499631,10.534852410004316,6.669072910001779,7.936035950004079,,,,,,,,,,B,,,,,,,,,,1698.5,1661.0,1678.5,1698.5,1661.0,1678.5,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,1.606916500004445,1.3391039999987697,1.4154687500013097,2.388641924994226,1.6032655499995598,1.949368625005445,3.785941320002605,2.1222453049873007,2.9177308050003923,,,,,,,,,,B,,,,,,,,,,1698.5,1661.0,1678.5,1698.5,1661.0,1678.5,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.13177074999998695,0.09152075000000437,0.1218434999999829,0.2901418500000116,0.11999919999999728,0.20183517500003473,0.38838974999996767,0.145854820000001,0.2473149799999979,,,,,,,,,,R,,,,,,,,,,35.5,32.0,33.5,1000.0,1000.0,1000.0,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.044374500000003536,0.034270750000011674,0.03848974999999655,0.11332865000001105,0.04334047499998803,0.061466924999992,0.14916594499999664,0.05392721499998772,0.10437542500002908,,,,,,,,,,R,,,,,,,,,,35.5,32.0,33.5,35.5,32.0,33.5,30,,,,,,,,,
1000,,,,,,,1629.5,1467.0,1538.5,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.04394774999995832,0.032886000000004856,0.040124999999989086,0.12309237499999298,0.06005442500000089,0.09867667499998728,0.26183453499998344,0.10569747999997978,0.1757028399999996,,,,,,,,,,R,,,,,,,,,,35.5,32.0,33.5,35.5,32.0,33.5,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,2.7806669999995393,2.23503125000002,2.4577289999998584,5.4084115500001175,3.9151771750001183,4.344021724999864,6.854953965000172,5.050941735000222,5.618314235000049,,,,,,,,,,R,,,,,,,,,,340.5,330.0,338.0,10000.0,10000.0,10000.0,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.501666749999913,0.4405417499997384,0.4662187499997117,0.8064822750001661,0.658821599999885,0.7144415750001822,1.8494245349993466,0.7958898750004575,0.9947548749999491,,,,,,,,,,R,,,,,,,,,,340.5,330.0,338.0,340.5,330.0,338.0,30,,,,,,,,,
10000,,,,,,,15619.0,15146.0,15513.0,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,0.4347607499998958,0.3909585000003517,0.41231299999981275,0.667737649999526,0.5189563999998995,0.5933914999999272,1.4100381949996024,0.6358776800002761,0.7207867149998629,,,,,,,,,,R,,,,,,,,,,340.5,330.0,338.0,340.5,330.0,338.0,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,B0,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,13.499812750000274,8.583604000002197,12.247094000000288,23.39331127499989,12.432686774999727,17.786802174999316,29.38280890999846,14.03678002000148,21.6614711100001,,,,,,,,,,R,,,,,,,,,,1698.5,1661.0,1678.5,50000.0,50000.0,50000.0,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,B1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,5.5736042500029725,3.444468749999942,5.012291749999349,10.019137425000189,5.578697600000213,7.253629075000752,11.102724965000892,6.246990694999734,8.360855999998275,,,,,,,,,,R,,,,,,,,,,1698.5,1661.0,1678.5,1698.5,1661.0,1678.5,30,,,,,,,,,
50000,,,,,,,77941.0,76235.5,77048.5,,,,C1,,,,,,,,,,,,,1.5,0.5,1.0,,,,SQL-P1,,,,,,,,,,,,,,,,1.9800210000012157,1.3130622499993478,1.5688227500013454,3.184148549999372,1.6087906249978912,2.1302678000003628,4.714213910000436,2.1368925700003283,2.6356694999994947,,,,,,,,,,R,,,,,,,,,,1698.5,1661.0,1678.5,1698.5,1661.0,1678.5,30,,,,,,,,,
1000,,,,,,,,,,,,,B1,,,,,,,0.08550000000104774,0.0783125000052678,0.08295799999905284,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,,,,,,,,,,,,,C1,,,,,,,0.12287499999729334,0.11333299999751034,0.11860449999949196,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,,,,,,,,,,,,,B1,,,,,,,0.17768749999959255,0.13174949999665841,0.15060449999873526,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,,,,,,,,,,,,,C1,,,,,,,0.2748124999998254,0.2376040000017383,0.2576459999982035,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,,,,,,,,,,,,,B1,,,,,,,0.17735399999946821,0.1509790000054636,0.16156249999403371,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,,,,,,,,,,,,,C1,,,,,,,0.7549789999975474,0.6087705000099959,0.6554170000017621,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,,,,,,,,,,,,,B1,,,,,,,0.26808299999538576,0.19345850000536302,0.2187290000001667,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,,,,,,,,,,,,,C1,,,,,,,0.3255210000061197,0.2460205000024871,0.3018955000079586,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,,,,,,,,,,,,,B1,,,,,,,0.23216699999466073,0.18239600000379141,0.21354150000115624,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,,,,,,,,,,,,,C1,,,,,,,0.3985420000026352,0.3204585000057705,0.3461460000035004,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,,,,,,,,,,,,,B1,,,,,,,0.2855000000054133,0.1925624999930733,0.21685349999461323,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,,,,,,,,,,,,,C1,,,,,,,0.9769999999989523,0.6642710000014631,0.8880624999947031,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,,,,,,,,,,,,,B1,,,,,,,0.24185399999998936,0.15150000000001995,0.21114550000002197,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,,,,,,,,,,,,,C1,,,,,,,0.29789650000003576,0.1700414999999822,0.2320619999999849,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,,,,,,,,,,,,,B1,,,,,,,0.42195799999990413,0.2621249999997417,0.2952499999998963,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,,,,,,,,,,,,,C1,,,,,,,0.554291500000204,0.4371245000002091,0.46866650000038135,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,,,,,,,,,,,,,B1,,,,,,,0.2526044999976875,0.20316649999949732,0.2170829999995476,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,,,,,,,,,,,,,C1,,,,,,,0.9533960000007937,0.7386249999999563,0.9076454999994894,,,,,,,,,,SQL-P2,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,0.31262450000212993,0.2982289999963541,0.3072290000018256,,,,,,,100.0,100.0,100.0,SQL-R1,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,2.7135414999975183,2.314417000001413,2.5929789999972854,,,,,,,1000.0,1000.0,1000.0,SQL-R1,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,16.778770500000974,13.756187499995576,14.579624999998487,,,,,,,5000.0,5000.0,5000.0,SQL-R1,,,,,,,,,,,,,5000.0,5000.0,5000.0,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,0.720916500002204,0.5967295000009472,0.639208000000508,,,,,,,100.0,100.0,100.0,SQL-R1,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,3.977270999996108,3.138979000003019,3.3074794999993173,,,,,,,1000.0,1000.0,1000.0,SQL-R1,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,25.421645999995235,17.244562000007136,21.7642499999929,,,,,,,5000.0,5000.0,5000.0,SQL-R1,,,,,,,,,,,,,5000.0,5000.0,5000.0,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,0.858562500000005,0.4299165000000116,0.6540625000000375,,,,,,,100.0,100.0,100.0,SQL-R1,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,5.504458000000341,4.208416499999771,4.762312500000235,,,,,,,1000.0,1000.0,1000.0,SQL-R1,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,1.0,1.0,1.0,,,,,,,,,,C1,0.0,0.0,0.0,,,,22.793854000003194,18.15783299999748,21.5054999999993,,,,,,,5000.0,5000.0,5000.0,SQL-R1,,,,,,,,,,,,,5000.0,5000.0,5000.0,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,0.13018749999901047,0.12391649999699439,0.12710449999940465,,,,,,,100.0,100.0,100.0,SQL-R2,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,A,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,0.4486250000009022,0.42149999999674037,0.4320000000006985,,,,,,,1000.0,1000.0,1000.0,SQL-R2,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,10.0,10.0,10.0,A,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,1.100937499999418,1.0241670000032173,1.0611249999928987,,,,,,,5000.0,5000.0,5000.0,SQL-R2,,,,,,,,,,,,,5000.0,5000.0,5000.0,,,,,,,,,,,,,,,,50.0,50.0,50.0,A,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,0.2910834999929648,0.23127100000419887,0.2538124999991851,,,,,,,100.0,100.0,100.0,SQL-R2,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,B,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,0.6998749999984284,0.5193954999922425,0.6033539999989443,,,,,,,1000.0,1000.0,1000.0,SQL-R2,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,10.0,10.0,10.0,B,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,1.8162294999929145,1.1281044999996084,1.2659589999966556,,,,,,,5000.0,5000.0,5000.0,SQL-R2,,,,,,,,,,,,,5000.0,5000.0,5000.0,,,,,,,,,,,,,,,,50.0,50.0,50.0,B,,,,,,,,,,,,,,,,30,,,,,,,,,
1000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,0.451874499999974,0.2020625000000038,0.2856039999998927,,,,,,,100.0,100.0,100.0,SQL-R2,,,,,,,,,,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,R,,,,,,,,,,,,,,,,30,,,,,,,,,
10000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,0.916521000001012,0.6966664999999921,0.8333125000003747,,,,,,,1000.0,1000.0,1000.0,SQL-R2,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,10.0,10.0,10.0,R,,,,,,,,,,,,,,,,30,,,,,,,,,
50000,1.0,1.0,1.0,,,,,,,0.01,0.01,0.01,C1,0.0,0.0,0.0,,,,1.690583499999775,1.1336875000015425,1.5636670000021695,,,,,,,5000.0,5000.0,5000.0,SQL-R2,,,,,,,,,,,,,5000.0,5000.0,5000.0,,,,,,,,,,,,,,,,50.0,50.0,50.0,R,,,,,,,,,,,,,,,,30,,,,,,,,,
